setting,unsafe,club,falsebeard,mark_lift,integrity,social
3.4,0.10682495022252857,0.3556446035972267,0.09264364258835414,0.004024667795728187,0.8867437156661098,35.142364755762465
3.6,0.10924553604983572,0.34645211048616037,0.0951907267975977,0.0013340536828208016,0.8812649806775529,34.59110416454791
3.8,0.1116374241242374,0.33733253689564946,0.09769357602153679,-0.0015529648077911018,0.8756359422075242,34.049361434686254
4.0,0.11400149093820816,0.3283036252380018,0.10014144786271531,-0.004623105509408254,0.8698677225289729,33.5168316878169
4.2,0.11634462139657897,0.3193627967594888,0.1025216012695506,-0.007869326701256951,0.8639684859783013,32.99200564805936
4.4,0.11865625420921139,0.3105641989179005,0.10482145017725507,-0.011265874214302807,0.8579682619172934,32.47682361495203
4.6,0.12091221689852337,0.3020108283090813,0.10702914743324185,-0.01476424382777941,0.8519221188620786,31.9758422664556
4.8,0.12308605152686185,0.2938276850715886,0.10913317879192858,-0.018298087336944824,0.8459060891089699,31.493911582535805
5.0,0.12515084246795885,0.2861658612679645,0.11112255263315796,-0.02177923816598415,0.8400226383849562,31.035742564511867
5.2,0.12708024278107144,0.279183100233624,0.11298809345434667,-0.02510204009738004,0.8343925704392388,30.605770647401528
5.4,0.12885887677310318,0.2729256680832829,0.11472590908909044,-0.0281917547289553,0.8290878123831372,30.20660996564356
5.6,0.13049311906139616,0.26722966834037165,0.116339965941574,-0.031061521345775445,0.8240586653880043,29.83745603910293
5.8,0.13199759611486964,0.26190161293436365,0.11783738405197823,-0.03376028732757652,0.8192197245230781,29.496058810079145
6.0,0.13338416613869936,0.25686986703241466,0.11922427018338658,-0.03632011656237444,0.8145453883680701,29.18010858303538
6.2,0.13466928637262593,0.25209303369822567,0.12050788680523253,-0.03878691428894332,0.8100244719396483,28.886137303531136
6.4,0.13586060074008943,0.24758901151143115,0.12169832348876711,-0.041159756875555065,0.8056728525158513,28.612226798570564
6.6,0.13693897463552623,0.24353641612416038,0.12280886566859753,-0.043300064640324876,0.8015999737806184,28.361140683381137
6.8,0.13787398099285447,0.24017806697319005,0.12385613077372985,-0.04500230336015987,0.7979632723154991,28.13749966380659
7.0,0.13867912367547103,0.2374516036893451,0.12485737608699511,-0.046293111551083954,0.7947354989974065,27.938458984035254
7.2,0.13943872016761505,0.23481046335707484,0.12582498322088556,-0.04759500915707615,0.7915678307464737,27.749524463336716
7.4,0.14021850989950652,0.23185091361039334,0.1267682022015299,-0.049238700159968785,0.7881781303647546,27.5595522715511
7.6,0.14100727193919188,0.2287303893635175,0.12770044806779038,-0.05111794479824672,0.784643933570746,27.369943752803607
7.8,0.14174996677778984,0.22597481870578673,0.12864299221421116,-0.05283210711630093,0.7813118977511769,27.18846679774628
8.0,0.14235784553585806,0.22448932053887485,0.12963295804383604,-0.053681791302694015,0.7788300134202357,27.026603228328717
8.2,0.14269680123281317,0.2257290032572134,0.1307425842762808,-0.05256105340037731,0.7782408583938093,26.900260012195588
8.4,0.14266700821484937,0.23096113460037607,0.13208506843094409,-0.048609235402438,0.780308407396117,26.81849380638141
8.6,0.14244595912800348,0.23872664492581638,0.1337284200355514,-0.04308388239603389,0.7837000700977336,26.753771224752928
8.8,0.14247033284656535,0.24461262956484217,0.13557886317393752,-0.03909150272472539,0.7853874893489842,26.65044528183749
9.0,0.14293387633504362,0.246231440920398,0.13749536785718378,-0.03807158010985501,0.7840729942499052,26.489781651994868
9.2,0.14371399138501698,0.24452024513272902,0.1394455405299711,-0.039335395929501527,0.780462884940313,26.291755793203908
9.4,0.1447174018433985,0.24069839660640102,0.14146456349758474,-0.04208229165841404,0.7752544325881486,26.06682077230111
9.6,0.14595125607024662,0.23521710516051564,0.14358462755895923,-0.04603713174366075,0.7685966272628165,25.810479067017724
9.8,0.1473902333203883,0.22846761295281695,0.14582642283131386,-0.05101785570790618,0.7606022728206444,25.52530208305431
10.0,0.1489730431686288,0.22090859326749843,0.14820842498766873,-0.056807398642106044,0.7514547345567504,25.220506513298478
10.2,0.1506542116968682,0.21285021455175962,0.15074615467807037,-0.06326741979511008,0.7412612443760863,24.903094217450736
10.4,0.1524200196107763,0.20438588297754332,0.15344549382350753,-0.0704091985403591,0.7299843138895096,24.575276937582125
10.6,0.15427245079851068,0.19550542072354207,0.15630265196078313,-0.07833292382333212,0.7175008515618787,24.236916255151318
10.8,0.15620440220105808,0.1862717999371532,0.15931554231568637,-0.08707797253720184,0.7037375385559339,23.889066566524402
11.0,0.15820062834978824,0.17682223432405064,0.1624878355732941,-0.09660532879725581,0.6886933775332882,23.53368988923205
11.2,0.16024739010449873,0.16731337314869438,0.16582746002270257,-0.10683756983863368,0.672413736645202,23.172106656032103
11.4,0.16233579600703302,0.1579179886849341,0.16934987815155705,-0.1176524114867572,0.6550048401695558,22.804295460942015
11.6,0.16446319885699034,0.14880224193275213,0.17307871030591004,-0.12889282764189103,0.6366230532537063,22.4288469615472
11.8,0.16663070146865094,0.1399914627513484,0.17701779686939156,-0.14051705918090351,0.6173037591993245,22.045068039932936
12.0,0.1688311511019689,0.13129363799275118,0.1811105946179148,-0.15274116265445326,0.5967980533853255,21.65656562962876
