probe,epsilon,l1_distance_from_target,unsafe,badged_mass,field_inf,external_growth_max
32,0.05,0.06957729414795506,1.0000000000000002,0.9189373614077041,3.061175626318821e-15,3.552713678800501e-15
33,0.05,0.07104569768556568,1.0000000000000002,0.910843943842029,6.038619335179545e-15,7.105427357601002e-15
34,0.05,0.07150966153619927,1.0000000000000004,0.9200172668912363,0.0,0.0
35,0.05,0.07268267105633537,1.0000000000000004,0.9008242759342295,0.0,0.0
36,0.05,0.07501185649909828,1.0000000000000007,0.8908426349646416,2.9638228189428822e-15,-3.552713678800501e-15
37,0.05,0.06949189957306542,1.0000000000000004,0.9097124366922769,3.0193312390008626e-15,3.552713678800501e-15
38,0.05,0.07444734529453714,1.0000000000000004,0.9080650529901447,3.014007374963531e-15,3.552713678800501e-15
39,0.05,0.07228727489987374,1.0,0.9165839823874189,6.119302486438016e-15,7.105427357601002e-15
40,0.05,0.06659906183357608,1.0000000000000009,0.9251411462425025,6.1340050955359e-15,-7.105427357601002e-15
41,0.05,0.07217254980474758,1.0000000000000004,0.9106033630829435,3.0278759939575843e-15,-3.552713678800501e-15
42,0.05,0.0703201163621322,1.0000000000000004,0.9191191700762781,0.0,0.0
43,0.05,0.0713687485363467,1.0000000000000004,0.9193072082743096,0.0,0.0
44,0.05,0.07109554460076614,1.0,0.9255249379447776,6.098941079833591e-15,7.105427357601002e-15
45,0.05,0.07096050123885922,1.0000000000000004,0.9096094131894589,3.0304850531256674e-15,-3.552713678800501e-15
46,0.05,0.07135536740504822,1.0000000000000004,0.916019940883689,2.578165228242625e-20,0.0
47,0.05,0.07331365846688626,1.0000000000000004,0.9102039472725443,3.0140607255049717e-15,3.552713678800501e-15
48,0.05,0.07154985868113947,1.0000000000000004,0.9006010316738006,0.0,0.0
49,0.05,0.07086020205819345,1.0,0.9067752411521833,3.012651875473146e-15,3.552713678800501e-15
50,0.05,0.07283970125509784,1.0000000000000004,0.9147225939762013,3.0333592899047563e-15,3.552713678800501e-15
51,0.05,0.07186186583099487,1.0,0.9194386222416482,3.0572090332669333e-15,3.552713678800501e-15
52,0.05,0.07211972215009631,1.0000000000000004,0.9165574305449308,0.0,0.0
53,0.05,0.06937401198624966,1.0000000000000007,0.9191393254806423,3.0607049686862556e-15,-3.552713678800501e-15
54,0.05,0.07200673428216564,1.0000000000000004,0.9062866872669292,3.0046716203151705e-15,3.552713678800501e-15
55,0.05,0.07340877970948058,1.0000000000000004,0.9103861268554936,3.0282503638188687e-15,-3.552713678800501e-15
56,0.05,0.072587569588006,1.0000000000000004,0.9065988858029183,6.053991711684778e-15,-7.105427357601002e-15
57,0.05,0.07371333606598213,1.0000000000000004,0.9200093686841563,3.068226132657457e-15,-3.552713678800501e-15
58,0.05,0.06958717263732143,1.0000000000000002,0.9085089536772124,3.033339707356456e-15,3.552713678800501e-15
59,0.05,0.07359410921510565,1.0000000000000007,0.9216642001276654,3.0724579184280734e-15,-3.552713678800501e-15
60,0.05,0.06841845275063864,1.0000000000000004,0.9215782119791458,3.0463769582558737e-15,3.552713678800501e-15
61,0.05,0.06964403749526615,1.0000000000000004,0.9205750182738563,0.0,0.0
62,0.05,0.06319469748667224,1.0000000000000004,0.9221135667147533,0.0,0.0
63,0.05,0.07285609172283672,1.0000000000000004,0.9039905617237965,0.0,0.0
