setting,unsafe,club,falsebeard,mark_lift,integrity,social
46.0,0.06436461178314089,0.27728850397195437,0.16497498475572658,-0.0017707031717173471,0.6423600991093256,44.79983823778464
47.0,0.0641943689010035,0.2858244393927537,0.15688452466914146,-0.000618216138788763,0.6604739318942314,44.81825315664351
48.0,0.06401237533629228,0.2941384193130831,0.1492373071519847,0.0005474874789541673,0.6777151635493472,44.839635902701474
49.0,0.06382107600973955,0.3022119851733575,0.1420222849355042,0.0017185961417348627,0.694070274892516,44.86350379294021
50.0,0.06362285274609142,0.3100292944498405,0.13522602345206075,0.0028878337306397217,0.7095375303069067,44.88938213152613
51.0,0.06341999225591685,0.317577107174449,0.12883321203179765,0.004048560093144915,0.7241254214384575,44.91681106848977
52.0,0.06321465961545705,0.32484474258254026,0.12282712903187237,0.005194838178256611,0.7378510688261084,44.945351348058104
53.0,0.06300887710127652,0.33182400901514425,0.11719005703228687,0.006321470931957784,0.7507386528721549,44.974588970459365
54.0,0.06280450812765004,0.3385091099215056,0.1119036468947191,0.00742401193707154,0.7628179282319774,45.00413881488049
55.0,0.0626032459572271,0.344896528656923,0.10694923152365081,0.008498754162695743,0.7741228592452061,45.03364728814491
56.0,0.06240660680205566,0.3509848947417007,0.10230809165025344,0.009542701228788197,0.7846903994754656,45.06279407520154
57.0,0.06221592689607786,0.3567748343117739,0.09796167695760606,0.010553525383772966,0.7945594263180591,45.091293075103415
58.0,0.062032363097529214,0.36226880761175834,0.0938917864683655,0.011529516022315334,0.8037698321333763,45.11889261078024
59.0,0.061856896566625394,0.3674709365136761,0.09008071240788453,0.012469522105413189,0.8123617663566753,45.145375003440314
60.0,0.06169033905942218,0.3723868251516902,0.08651135181491473,0.013372891341531967,0.8203750182425156,45.17055560318664
